emoji_slug_hash,emoji_slug,filename,image_type,emoji_slug_only_hash,reason
-8403822909818977106,man,man_high_contrast_default.webp,ms-fluentui,,not_found_in_backup_db
6781577144913255471,man-gesturing-ok,man_gesturing_ok_high_contrast_default.webp,ms-fluentui,,not_found_in_backup_db
-5029506949338016714,man-getting-haircut,man_getting_haircut_high_contrast_default.webp,ms-fluentui,,not_found_in_backup_db
7352094538366719586,man-getting-haircut-medium-light-skin-tone,person_getting_haircut_flat_light.webp,ms-fluentui,,not_found_in_backup_db
-5590029171092946863,man-getting-haircut-medium-skin-tone,person_getting_haircut_flat_medium.webp,ms-fluentui,,not_found_in_backup_db
6922014020701555485,man-getting-massage,man_getting_massage_high_contrast_default.webp,ms-fluentui,,not_found_in_backup_db
590559826938537975,man-getting-massage-light-skin-tone,person_getting_massage_flat_light.webp,ms-fluentui,,not_found_in_backup_db
-5902002471459034480,man-getting-massage-medium-dark-skin-tone,person_getting_massage_flat_medium-dark.webp,ms-fluentui,,not_found_in_backup_db
8396822191713001589,man-getting-massage-medium-light-skin-tone,person_getting_massage_flat_light.webp,ms-fluentui,,not_found_in_backup_db
-3419743834842309930,man-getting-massage-medium-skin-tone,person_getting_massage_flat_medium.webp,ms-fluentui,,not_found_in_backup_db
-1741142937802540869,man-golfing,man_golfing_high_contrast_default.webp,ms-fluentui,,not_found_in_backup_db
1577887647961267035,man-guard,man_guard_high_contrast_default.webp,ms-fluentui,,not_found_in_backup_db
107003061616683539,man-guard-dark-skin-tone,guard_flat_dark.webp,ms-fluentui,,not_found_in_backup_db
997705864989801347,man-guard-light-skin-tone,guard_flat_light.webp,ms-fluentui,,not_found_in_backup_db
-3288298119528011320,man-guard-medium-dark-skin-tone,guard_flat_medium-dark.webp,ms-fluentui,,not_found_in_backup_db
-3395153789924440222,man-guard-medium-light-skin-tone,guard_flat_light.webp,ms-fluentui,,not_found_in_backup_db
6451432929713946144,man-guard-medium-skin-tone,guard_flat_medium.webp,ms-fluentui,,not_found_in_backup_db
-309516068479788757,man-health-worker,man_health_worker_high_contrast_default.webp,ms-fluentui,,not_found_in_backup_db
416865962935323352,man-health-worker-dark-skin-tone,man_flat_dark.webp,ms-fluentui,,not_found_in_backup_db
